,rate_PC1,rate_PC2,rate_PC3,eq_SBER,eq_GAZP,eq_LKOH,eq_GMKN,eq_ROSN,eq_NVTK,eq_MGNT,eq_MTSS,eq_YDEX,eq_PLZL,fx_USD,fx_EUR
rate_PC1,1.0,0.030597245336263602,0.033886611373758625,-0.21382008509152609,-0.21650059131495128,-0.20031814372063822,-0.19238390187799126,-0.28791161267042137,-0.21040022576103978,-0.21308519591320513,-0.2920322225969368,-0.19944816590641956,-0.18437486212913068,-0.004079395478517595,0.0046274365148967775
rate_PC2,0.030597245336263602,1.0,-0.014956010545330965,0.16917171679215542,0.15664913480253323,0.13382152956807916,0.15704578937545877,0.1782001323598729,0.1358653469486835,0.20011922179034164,0.13646699002300697,0.11635309819377378,0.12136376850989322,-0.06559409213623248,-0.05865021426925856
rate_PC3,0.033886611373758625,-0.014956010545330965,1.0,-0.028464320922809015,0.021995676504908978,-0.012600021185509465,-0.012130379441766308,-0.028844312076733224,0.010773749138735678,-0.05208460569750394,-0.08793011682690874,-0.05700149909740795,0.03811906698397063,0.08478292946110444,0.09198139940471466
eq_SBER,-0.21382008509152609,0.16917171679215542,-0.028464320922809015,1.0,0.5752320001456978,0.5642795652173589,0.5599916171407503,0.645045740566471,0.6110211023929022,0.5505724679045542,0.5073702090497998,0.6090935130985592,0.3510126135315705,-0.05139716347235194,-0.0636814836554662
eq_GAZP,-0.21650059131495128,0.15664913480253323,0.021995676504908978,0.5752320001456978,1.0,0.49919993276220426,0.49928933445251084,0.5597621893975255,0.5120644399306783,0.4448455772870765,0.40634671051812565,0.46406434783401,0.3118824679356343,0.008841880939262517,0.017011992312549927
eq_LKOH,-0.20031814372063822,0.13382152956807916,-0.012600021185509465,0.5642795652173589,0.49919993276220426,1.0,0.4901659331231655,0.642719460893751,0.5838178651622413,0.4834474685691046,0.4158580060746487,0.4854963480585831,0.3041521567030221,-0.01737600542098862,-0.038322286108683226
eq_GMKN,-0.19238390187799126,0.15704578937545877,-0.012130379441766308,0.5599916171407503,0.49928933445251084,0.4901659331231655,1.0,0.5539593414117083,0.5717651566764145,0.4972123003895353,0.47495563507119387,0.4614826258586068,0.3915128115646927,-0.011816210665712373,-0.014756599618472735
eq_ROSN,-0.28791161267042137,0.1782001323598729,-0.028844312076733224,0.645045740566471,0.5597621893975255,0.642719460893751,0.5539593414117083,1.0,0.6379585571680839,0.5388234409638821,0.4726621713056299,0.5059467188131659,0.3985614683548489,0.03635195750360491,0.03822417177055935
eq_NVTK,-0.21040022576103978,0.1358653469486835,0.010773749138735678,0.6110211023929022,0.5120644399306783,0.5838178651622413,0.5717651566764145,0.6379585571680839,1.0,0.46245857752323644,0.45329823323343016,0.5087426022395499,0.3346955080152579,0.04192995162261121,0.018166573820178937
eq_MGNT,-0.21308519591320513,0.20011922179034164,-0.05208460569750394,0.5505724679045542,0.4448455772870765,0.4834474685691046,0.4972123003895353,0.5388234409638821,0.46245857752323644,1.0,0.4683344336185064,0.49065747455832476,0.3464319342408387,-0.06045809539397198,-0.04432560945506341
eq_MTSS,-0.2920322225969368,0.13646699002300697,-0.08793011682690874,0.5073702090497998,0.40634671051812565,0.4158580060746487,0.47495563507119387,0.4726621713056299,0.45329823323343016,0.4683344336185064,1.0,0.45267016182136727,0.34575208168576976,-0.06570921152948091,-0.05805450646517497
eq_YDEX,-0.19944816590641956,0.11635309819377378,-0.05700149909740795,0.6090935130985592,0.46406434783401,0.4854963480585831,0.4614826258586068,0.5059467188131659,0.5087426022395499,0.49065747455832476,0.45267016182136727,1.0,0.32443241703373515,-0.046343994719200164,-0.05517971591143925
eq_PLZL,-0.18437486212913068,0.12136376850989322,0.03811906698397063,0.3510126135315705,0.3118824679356343,0.3041521567030221,0.3915128115646927,0.3985614683548489,0.3346955080152579,0.3464319342408387,0.34575208168576976,0.32443241703373515,1.0,0.010795267906831031,0.005814074383602455
fx_USD,-0.004079395478517595,-0.06559409213623248,0.08478292946110444,-0.05139716347235194,0.008841880939262517,-0.01737600542098862,-0.011816210665712373,0.03635195750360491,0.04192995162261121,-0.06045809539397198,-0.06570921152948091,-0.046343994719200164,0.010795267906831031,1.0,0.9015661983748006
fx_EUR,0.0046274365148967775,-0.05865021426925856,0.09198139940471466,-0.0636814836554662,0.017011992312549927,-0.038322286108683226,-0.014756599618472735,0.03822417177055935,0.018166573820178937,-0.04432560945506341,-0.05805450646517497,-0.05517971591143925,0.005814074383602455,0.9015661983748006,1.0
