,PC1,PC2,PC3
0.25,0.446130744070186,0.4252375097329077,0.3547986021937096
0.5,0.42373463324853233,0.2816818093248393,0.11532783815063455
0.75,0.4015592707265429,0.16498317520740496,-0.04434626153114005
1.0,0.3794779874803809,0.07061626162518181,-0.15212935531971603
2.0,0.30961986930845237,-0.1463226416308115,-0.32613296714533674
3.0,0.2636152459355738,-0.23436136694301885,-0.3511362860101736
5.0,0.21717959218712027,-0.29285797859757023,-0.2752888988228349
7.0,0.18947051464284675,-0.31044751769304907,-0.14960425479924147
10.0,0.15397143737848729,-0.3204678803367074,0.0493060180273623
15.0,0.12834156303734096,-0.3323842585303484,0.27019001315400404
20.0,0.11971036448889068,-0.34003512311330303,0.3958838991062428
30.0,0.11502210506397448,-0.34690120908985916,0.5250951411815838
