,доля,накопл.
PC1,0.7560344670865237,0.7560344670865237
PC2,0.1280604469129601,0.8840949139994838
PC3,0.07179813867858222,0.955893052678066
PC4,0.03408876947120218,0.9899818221492682
PC5,0.007862174140113186,0.9978439962893814
PC6,0.0014240703218891472,0.9992680666112705
PC7,0.00044090001115786135,0.9997089666224284
PC8,0.00012745072040896456,0.9998364173428373
PC9,7.123064552559608e-05,0.999907647988363
PC10,3.357629792550365e-05,0.9999412242862885
PC11,3.0876516190257897e-05,0.9999721008024788
PC12,2.7899197521301898e-05,1.0
