,ADF_pvalue,ADF_вывод,KPSS_pvalue,KPSS_вывод,согласие
rate_PC1,0.0,стационарен,0.1,стационарен,да
rate_PC2,0.0,стационарен,0.1,стационарен,да
rate_PC3,0.0,стационарен,0.1,стационарен,да
eq_SBER,0.0,стационарен,0.1,стационарен,да
eq_GAZP,0.0,стационарен,0.1,стационарен,да
eq_LKOH,0.0,стационарен,0.1,стационарен,да
eq_GMKN,0.0,стационарен,0.1,стационарен,да
eq_ROSN,0.0,стационарен,0.1,стационарен,да
eq_NVTK,0.0,стационарен,0.1,стационарен,да
eq_MGNT,0.0,стационарен,0.1,стационарен,да
eq_MTSS,0.0,стационарен,0.1,стационарен,да
eq_YDEX,0.0,стационарен,0.1,стационарен,да
eq_PLZL,0.0,стационарен,0.1,стационарен,да
fx_USD,0.0,стационарен,0.1,стационарен,да
fx_EUR,0.0,стационарен,0.1,стационарен,да
