,phi,phi_se,t(φ=0),t(φ=1),полураспад_дн,долгоср_среднее,режим
rate_PC1,0.22419957392328435,0.028179370001909173,7.9561599108885215,-27.53079384046395,0.46357579331642235,-0.00019035272736317796,возврат к среднему
rate_PC2,-0.0028148786326654186,0.02887407405606483,-0.09748810047379407,-34.7306333247431,inf,6.401908404401726e-06,≈ белый шум (φ≈0)
rate_PC3,-0.014037748912515967,0.02885341605685948,-0.4865194777926025,-35.1444607776847,inf,-5.900774313411101e-07,≈ белый шум (φ≈0)
eq_SBER,-0.02196997050536633,0.028834243175265308,-0.7619402517979972,-35.44292681078712,inf,0.0005194302061204906,≈ белый шум (φ≈0)
eq_GAZP,0.07203940965561904,0.02877928682054833,2.5031686888148705,-32.24404399353704,0.2634997627270528,-0.00022986950737466553,возврат к среднему
eq_LKOH,0.04804356345100129,0.02882657356647332,1.6666414875917908,-33.02357230746874,0.2283358888406854,0.0002924545883091257,≈ белый шум (φ≈0)
eq_GMKN,-0.035388881558075375,0.028838205021646107,-1.227152713960952,-35.90337473434658,inf,-0.00029480876922011477,≈ белый шум (φ≈0)
eq_ROSN,0.07663395406781713,0.028752987150292623,2.6652519151227465,-32.113743212339095,0.26984199137882214,0.0001701632529970676,возврат к среднему
eq_NVTK,0.01965558711934803,0.028842757622357756,0.6814739206528506,-33.98927473289614,0.1764005448224832,-7.918898586673802e-05,≈ белый шум (φ≈0)
eq_MGNT,0.05309750254488101,0.02881330352284911,1.842812036557155,-32.86337842879488,0.23611567883519655,-0.00011795870076606711,≈ белый шум (φ≈0)
eq_MTSS,0.10864441708616551,0.02868466992029466,3.787542871786669,-31.074284117287068,0.3122741814360246,0.00021020026387492518,возврат к среднему
eq_YDEX,0.04920166862163385,0.028820356001540422,1.7071846239166535,-32.99051307095397,0.23014170801588685,0.000284404489307882,≈ белый шум (φ≈0)
eq_PLZL,0.14200698448218688,0.028566460372324534,4.971108867928371,-30.034978234441855,0.35511789805696564,0.0004898909472375907,возврат к среднему
fx_USD,0.10890488835932406,0.028685623190852362,3.7964972081921875,-31.06417126488783,0.31261142820928167,-1.7751730119322473e-05,возврат к среднему
fx_EUR,0.10375557281899943,0.02869902483667326,3.615299593260556,-31.229089917916937,0.30592834671144753,-3.4361297037406545e-05,возврат к среднему
