,σ_завтра(λ=0.94),σ_завтра(λ_MLE),σ_безусловная,год_λ=0.94
rate_PC1,0.0038328886898759094,0.005084553202881104,0.005084952482332963,0.06060329138953318
rate_PC2,0.0023883038167569156,0.0027000437217499784,0.002698434296237795,0.037762399027126345
rate_PC3,0.001520030319201613,0.0018436001724147662,0.0018424677615815547,0.024033789605949357
eq_SBER,0.00898834941026874,0.020282990887089434,0.02030714008823257,0.14211828270940233
eq_GAZP,0.01531536327202823,0.02503739723971395,0.025060138596945,0.24215715566249083
eq_LKOH,0.01721578316930465,0.01870494223875041,0.018719953928683433,0.27220543259297436
eq_GMKN,0.018944074341123333,0.019693224584746694,0.01969603777504387,0.2995321154075166
eq_ROSN,0.012388757169906301,0.019688619576633856,0.01970336417523908,0.19588345017822764
eq_NVTK,0.020006314743105904,0.022582018364449164,0.022592808270898577,0.3163276108721054
eq_MGNT,0.016812696490049944,0.02040237891358436,0.020412126840168802,0.2658320725883813
eq_MTSS,0.010018888657600209,0.01925805639988209,0.019269565550159417,0.15841253890821752
eq_YDEX,0.012937398865938365,0.023822353619173762,0.02384378336117296,0.2045582370722231
eq_PLZL,0.013886367124827964,0.019972872431902714,0.01998461545365014,0.21956274269870038
fx_USD,0.0076637449165569025,0.011839284758652955,0.011851422483431066,0.12117444671428436
fx_EUR,0.007475099639545923,0.012114025949145206,0.012125809145288158,0.11819170298834389
