,omega,alpha,beta,персистентность,nu,σ_завтра_дн,σ_завтра_год
rate_PC1,0.669,0.1457,0.8543,1.0,3.7945,0.0048,0.0761
rate_PC2,0.7848,0.1278,0.8722,1.0,4.6725,0.0024,0.0382
rate_PC3,0.6355,0.1325,0.8675,1.0,4.8073,0.0014,0.0226
eq_SBER,2.1908,0.1394,0.8566,0.996,3.5837,0.0105,0.166
eq_GAZP,3.1255,0.2027,0.7973,1.0,3.3014,0.017,0.268
eq_LKOH,5.2336,0.1122,0.8446,0.9568,3.9054,0.0156,0.2469
eq_GMKN,1.4218,0.1024,0.8939,0.9964,4.6444,0.0196,0.3103
eq_ROSN,5.8076,0.1295,0.8133,0.9428,4.9098,0.0128,0.203
eq_NVTK,1.333,0.0826,0.9093,0.9918,5.1018,0.0205,0.3248
eq_MGNT,2.9332,0.0935,0.8827,0.9762,4.4313,0.0171,0.2698
eq_MTSS,4.6348,0.2931,0.7069,1.0,3.3105,0.01,0.1583
eq_YDEX,2.3348,0.0921,0.8894,0.9816,4.7738,0.0147,0.2332
eq_PLZL,5.5386,0.1187,0.8273,0.946,6.5653,0.0148,0.2332
fx_USD,9.0748,0.2444,0.7556,1.0,2.413,0.0094,0.1486
fx_EUR,6.047,0.1761,0.8239,1.0,2.3931,0.0095,0.1503
